ID_subj;ID_exp;timeVideo;trialType;ImgCondition;response;adaptedResponse
1;affordant;700;external;0;4;1
1;affordant;670;external;-1;4;1
1;affordant;670;external;0;4;1
1;affordant;700;external;0;4;1
1;affordant;700;external;1;4;1
1;affordant;700;external;-2;4;1
1;affordant;670;external;2;4;1
1;affordant;670;external;1;6;0
1;affordant;670;external;1;4;1
1;affordant;670;external;0;4;1
1;affordant;700;external;-2;4;1
1;affordant;670;external;2;6;0
1;affordant;700;external;1;4;1
1;affordant;700;external;-1;6;0
1;affordant;670;external;-1;6;0
1;affordant;700;external;-1;6;0
1;affordant;700;external;2;4;1
1;affordant;670;external;-2;6;0
1;affordant;700;external;2;4;1
1;affordant;670;external;-2;6;0
1;affordant;700;external;-1;6;0
1;affordant;670;external;0;6;0
1;affordant;700;external;-2;6;0
1;affordant;700;external;2;4;1
1;affordant;700;external;0;4;1
1;affordant;700;external;-1;6;0
1;affordant;670;external;-2;6;0
1;affordant;670;external;-2;6;0
1;affordant;670;external;2;4;1
1;affordant;670;external;0;6;0
1;affordant;700;external;1;4;1
1;affordant;700;external;-2;6;0
1;affordant;670;external;2;4;1
1;affordant;670;external;-1;6;0
1;affordant;670;external;-1;6;0
1;affordant;700;external;0;6;0
1;affordant;670;external;1;4;1
1;affordant;700;external;2;4;1
1;affordant;700;external;1;4;1
1;affordant;670;external;1;4;1
1;affordant;670;external;1;4;1
1;affordant;700;external;2;4;1
1;affordant;700;external;0;4;1
1;affordant;670;external;-1;6;0
1;affordant;700;external;1;4;1
1;affordant;670;external;1;4;1
1;affordant;670;external;2;4;1
1;affordant;700;external;-1;6;0
1;affordant;700;external;1;4;1
1;affordant;670;external;0;4;1
1;affordant;670;external;-1;6;0
1;affordant;670;external;2;4;1
1;affordant;700;external;2;4;1
1;affordant;700;external;-1;6;0
1;affordant;670;external;0;6;0
1;affordant;700;external;-2;6;0
1;affordant;670;external;-2;6;0
1;affordant;670;external;-2;6;0
1;affordant;700;external;0;6;0
1;affordant;700;external;-2;6;0
1;affordant;700;external;1;6;0
1;affordant;670;external;0;6;0
1;affordant;700;external;-1;6;0
1;affordant;670;external;-1;6;0
1;affordant;700;external;2;4;1
1;affordant;700;external;1;4;1
1;affordant;670;external;0;6;0
1;affordant;670;external;-2;6;0
1;affordant;670;external;2;4;1
1;affordant;670;external;-2;6;0
1;affordant;700;external;-2;6;0
1;affordant;700;external;-1;6;0
1;affordant;700;external;0;6;0
1;affordant;670;external;1;4;1
1;affordant;670;external;2;4;1
1;affordant;700;external;-2;6;0
1;affordant;700;external;2;4;1
1;affordant;670;external;-1;6;0
1;affordant;670;external;1;4;1
1;affordant;700;external;0;4;1
1;affordant;670;external;2;4;1
1;affordant;670;external;1;4;1
1;affordant;670;external;1;4;1
1;affordant;700;external;-2;6;0
1;affordant;670;external;-2;6;0
1;affordant;700;external;0;4;1
1;affordant;670;external;-1;6;0
1;affordant;700;external;-2;6;0
1;affordant;700;external;2;4;1
1;affordant;700;external;1;4;1
1;affordant;700;external;-1;6;0
1;affordant;700;external;0;6;0
1;affordant;670;external;-1;6;0
1;affordant;670;external;2;4;1
1;affordant;700;external;-1;6;0
1;affordant;670;external;-2;6;0
1;affordant;670;external;0;6;0
1;affordant;670;external;0;6;0
1;affordant;700;external;1;4;1
1;affordant;700;external;2;4;1
1;affordant;700;self;-2;6;0
1;affordant;700;self;1;6;0
1;affordant;670;self;1;6;0
1;affordant;670;self;-2;6;0
1;affordant;700;self;0;4;1
1;affordant;700;self;2;4;1
1;affordant;670;self;1;6;0
1;affordant;670;self;-2;6;0
1;affordant;700;self;-1;6;0
1;affordant;670;self;-1;6;0
1;affordant;670;self;0;6;0
1;affordant;670;self;2;4;1
1;affordant;700;self;1;4;1
1;affordant;670;self;0;6;0
1;affordant;670;self;2;4;1
1;affordant;700;self;0;6;0
1;affordant;700;self;2;4;1
1;affordant;700;self;-1;6;0
1;affordant;670;self;-1;6;0
1;affordant;700;self;-2;6;0
1;affordant;700;self;-2;6;0
1;affordant;670;self;-2;6;0
1;affordant;700;self;-2;6;0
1;affordant;670;self;0;6;0
1;affordant;700;self;1;4;1
1;affordant;670;self;2;4;1
1;affordant;670;self;1;4;1
1;affordant;670;self;-2;6;0
1;affordant;700;self;0;6;0
1;affordant;670;self;-1;6;0
1;affordant;700;self;2;4;1
1;affordant;670;self;1;6;0
1;affordant;670;self;2;4;1
1;affordant;670;self;0;6;0
1;affordant;700;self;-1;6;0
